sira,gazete,baslik,url,haber_metni
1467,Gazete Duvar,Hentbol sezonu zorluklarla başladı,https://www.gazeteduvar.com.tr/spor/2019/10/02/hentbol-sezonu-zorluklarla-basladi/,"Hentbol ligi aslında bu sezon pek çok zorluklar ile bir araya gelebildi. Fon üretilememesi, maliyetlerin artması, spor camiasından desteğin sınırlı alması, yönetim hataları nedeni ile iki yılda 57 kulüp hentboldan çekildi. Erkeklerde Selka gibi çok değerli bir yapı terk etti hentbolu. Batman ve Adıyaman Belediyeleri kapattı. Yozgat Bozok çıkmayı reddedip Başkent Akademi'ye devretti takımı. Bu kadar zorluklar ile uğraşan hentbol camiası, İstanbul Belediyesi'ne ait olan ve bulunduğu bölgede hentbol ölçülerine sahip tek tesisi, Ümraniye Haldun Alagaş Spor Salonu'nu da kaybetti."
1468,T24,50+1' baraj tartışmasına Cumhur İttifakı'nın küçük ortağı da katıldı: Sulandırmak olur ,"https://t24.com.tr/haber/50-1-baraj-tartismasina-cumhur-ittifaki-nin-kucuk-ortagi-da-katildi-sulandirmak-olur,841964","""Bu sistemin en önemli özelliği halkın çoğunluğunun bir fazlasıyla iktidara gelmektir"""
1469,Diken,Dolar/TL 12 Eylül’den bu yana ilk kez 5.75’in üzerini test etti,http://www.diken.com.tr/dolar-tl-12-eylulden-bu-yana-ilk-kez-5-75in-uzerini-test-etti/,Küresel piyasalardaki olumsuz hava ve Cumhurbaşkanı Tayyip Erdoğan'ın Fırat'ın doğusuna ilişkin açıklamalarının ABD ile gerilimi artıracağı endişeleriyle yükselen dolar/TL bugün (2 Ekim) 12 Eylül'den bu yana ilk kez 5.75 seviyesinin üzerini test etti.
1470,Gazete Duvar,Evlilik teklifini ‘çalı’ olarak izledi,https://www.gazeteduvar.com.tr/hayat/2019/10/02/evlilik-teklifini-cali-olarak-izledi/,Kız kardeşinin evlilik teklifi alacağını öğrenince çalı kostümü giyerek izlemeye karar verdi. Fotoğrafları Twitter'da 100 binden fazla beğeni topladı.
1471,Anadolu Ajansı,Sala'nın bonservisi CAS'a taşınacak,https://www.aa.com.tr/tr/guncel/ucak-kazasinda-hayatini-kaybeden-salanin-bonservisi-casa-tasinacak/1599887,"Cardiff City, FIFA'nın, uçak kazasında hayatını kaybeden Arjantinli futbolcunun bonservisinin ilk taksiti olan 6 milyon avroyu ödemesi talimatını CAS'a taşıyor"
1472,NTV,Çalışma Bakanı Selçuk: Geçici işçilerin çalışma sürelerini uzattık,"https://www.ntv.com.tr/ekonomi/calisma-bakani-selcukgecici-iscilerin-calisma-surelerini-uzattik,LJMzHBMgI0Osd4F4hepLjA","Aile, Çalışma ve Sosyal Hizmetler Bakanı Zehra Zümrüt Selçuk, toplu iş sözleşmesinde geçici işçilerle alakalı verdikleri sözü hatırlatarak, ""Sözümüzü tuttuk, geçici işçi kardeşlerimizin 2019 yılında çalışma sürelerini 9 ay 29 güne kadar uzattık. Emekçi kardeşlerimiz ve ailelerine hayırlı uğurlu olsun"" dedi."
1473,CNN Türk,Hikmet Karaman'ın istifası kabul edilmedi,https://www.cnnturk.com/spor/futbol/hikmet-karamanin-istifasi-kabul-edilmedi,"Süper Lig ekiplerinden Kayserispor'un kulüp başkanı Erol Bedir, takımdan ayrılma kararı alan teknik direktörleri Hikmet Karaman'ı ikna ettiklerini söyledi."
1474,Diken,Fabrika yatırımı beklenen Volkswagen Manisa’da şirket kurdu,http://www.diken.com.tr/fabrika-yatirimi-beklenen-volkswagen-manisada-sirket-kurdu/,"Alman otomotiv devi Volkswagen, Manisa'da 943 milyon 500 bin lira sermayeli 'Volkswagen Turkey Otomotiv Sanayi ve Ticaret AŞ' kurdu."
1475,Diken,İBB’ye ait Hamidiye suyuna kamu kurumlarından boykot genişliyor,http://www.diken.com.tr/ibbye-ait-hamidiye-suyuna-kamu-kurumlarindan-boykot-genisliyor/,"Kültür ve Turizm Bakanlığı, Sanayi ve Teknoloji Bakanlığı, Milli Saraylar İdaresi ve Vakıfbank; İstanbul Büyükşehir Belediyesi'ne (İBB) ait Hamidiye suyu ile olan sözleşmelerini sonlandırdı."
1476,BirGün,AKP milletvekilinin evindeki şüpheli ölüm için soru önergesi: Emniyet'in 'intihar vakası' vurgusunun gerekçesi nedir?,https://www.birgun.net/haber/akp-milletvekilinin-evindeki-supheli-olum-icin-soru-onergesi-emniyet-in-intihar-vakasi-vurgusunun-gerekcesi-nedir-270904,Özbekistan uyruklu Nadira Kadirova 23 Eylül 2019 tarihinde AKP İstanbul Milletvekili Şirin Ünal'ın evinde bakıcılık yaparken şüpheli bir şekilde
1477,Sabah,TBMM yeni yasama dönemine başladı. İşte resepsiyondan ilginç kareler...,https://www.sabah.com.tr/gundem/2019/10/01/tbmm-yeni-yasama-donemine-basladi-iste-resepsiyondan-ilginc-kareler,TBMM'nin 27. Dönem üçüncü yasama yılı sebebiyle TBMM Tören Salonu'nda resepsiyon verildi. Başkan Erdoğan'ın da katıldığı resepsiyonda ilginç kareler...
1478,T24,Cemal Kaşıkçı ölüm yıl dönümünde İstanbul'daki Suudi Arabistan Başkonsolosluğu önünde anıldı,"https://t24.com.tr/haber/cemal-kasikci-olum-yil-donumunde-istanbul-daki-suudi-arabistan-baskonsoloslugu-onunde-aniliyor,841968",Cemal Kaşıkçı ölüm yıl dönümünde İstanbul'daki Suudi Arabistan Başkonsolosluğu önünde anıldı
